1,Kłysz Sp.j.,93-485,Pabianice,ulica Władysława,41/59
2,Fydrych s.c.,20-258,Piekary Śląskie,plac Jana,886
3,Gabinety Hus s.c.,17-746,Krosno,ul. Mostowa,16/53
4,Fundacja Majerczyk,01-093,Żary,plac Słowicza,325
5,Bogusiewicz s.c.,52-464,Dębica,aleja Kaliska,10/41
6,Giersz-Kuryłowicz Sp.k.,72-653,Ostrów Mazowiecka,aleja Solidarnosci,52/03
7,Stowarzyszenie Ziółko Sp.j.,34-602,Koszalin,ul. Wiatraczna,36/82
8,Węgrzynek Sp.k.,32-875,Gorzów Wielkopolski,ul. Sienkiewicza,10/41
9,Skrzecz Sp. z o.o. Sp.k.,72-598,Ostrów Wielkopolski,ul. Rynek,57/13
10,PPUH Biegała i syn s.c.,58-740,Zduńska Wola,plac Słowianska,20/29
11,Ograbek S.A.,58-919,Zamość,ulica Odrzańska,858
12,Cieloch Sp.j.,56-447,Gdańsk,plac Lubelska,65/89
13,Gonsior Sp. z o.o.,19-769,Szczytno,aleja Zapolskiej,61/84
14,Stowarzyszenie Woronko s.c.,76-674,Wieluń,ulica Piaskowa,02
15,Kapinos-Polewka Sp.j.,19-689,Zawiercie,ulica Ptasia,365
16,Spółdzielnia Zagozda,60-430,Bartoszyce,al. Akacjowa,92/81
17,Gabinety Gumienny-Tomzik s.c.,75-245,Pruszcz Gdański,ulica Harcerska,82/84
18,Spółdzielnia Wojczuk,68-719,Nysa,ulica Orzeszkowej,26
19,PPUH Lempart Sp.j.,49-438,Lubartów,al. Ogrodowa,11/03
20,Spółdzielnia Bosek,31-455,Malbork,al. Żytnia,18
21,Pindral Sp.k.,51-989,Słupsk,ulica Malczewskiego,69
22,Fundacja Świerkosz,91-678,Świnoujście,ulica Wróblewskiego,18
23,PPUH Faltyn,98-207,Kraków,al. Promienna,08/33
24,Fundacja Czesak,73-907,Lubliniec,al. Żabia,285
25,Gabinety Kopyt,17-449,Kalisz,plac Spokojna,647
26,Grupa Sady S.A.,83-572,Jarocin,aleja Rataja,06
27,Majtczak-Łuksza i syn s.c.,84-821,Jaworzno,ulica Północna,836
28,FPUH Smela-Mizak Sp.k.,33-075,Żywiec,ul. Słoneczna,303
29,Lewko s.c.,83-131,Pszczyna,al. Piłsudskiego,03
30,Fundacja Bodych,66-162,Nowy Targ,ulica Rataja,46/12
31,Nałęcz S.A.,16-863,Police,plac Piastowska,631
32,Gabinety Herda-Pyć Sp. z o.o. Sp.k.,23-764,Białogard,ul. Fiołkowa,07/37
33,Czura-Daraż Sp. z o.o.,25-888,Otwock,plac Fredry,71/79
34,Gabinety Kliszcz,10-455,Oleśnica,plac Mostowa,55
35,Broniek-Pielech s.c.,56-331,Tarnów,aleja Chmielna,99
36,FPUH Indyka-Jośko Sp.k.,83-648,Knurów,al. Łąkowa,74/43
37,FPUH Latek Sp.j.,91-052,Gorlice,plac Słowianska,22/45
38,PPUH Początek S.A.,89-493,Iława,ul. Leśna,496
39,Grupa Wojtasiewicz,66-037,Mława,aleja Wolności,176
40,Grupa Pizoń,84-258,Żagań,plac Okrężna,08/93
41,Welenc-Dulas Sp.j.,10-343,Łódź,plac Kwiatowa,123
42,Gabinety Cherek,85-982,Oświęcim,plac Srebrna,08
43,Kukier i syn s.c.,22-183,Rybnik,plac Wyszyńskiego,25
44,Kawiak-Krekora i syn s.c.,54-515,Zawiercie,plac Towarowa,85/13
45,Spółdzielnia Glaza-Dybiec i syn s.c.,49-330,Wieluń,aleja Poziomkowa,467
46,Kajdas s.c.,48-712,Gdynia,plac Morska,52/79
47,Laskus s.c.,48-095,Krotoszyn,al. Cicha,72
48,Gabinety Hadała-Leoniak Sp.j.,39-109,Czeladź,al. Zwycięstwa,15/41
49,Zagrodnik-Tułacz S.A.,14-418,Mińsk Mazowiecki,ulica Bolesława,06/14
50,Fulara-Leszczak Sp.k.,67-318,Chorzów,aleja Akacjowa,765
51,Grupa Sularz s.c.,86-548,Skawina,plac Brzechwy,33/14
52,Rolak-Heller Sp. z o.o.,58-371,Żary,aleja Sosnowa,71
53,Spółdzielnia Chmielak Sp.k.,67-958,Inowrocław,ulica Spokojna,52
54,FPUH Karnas-Grzegorzak Sp. z o.o.,53-077,Lublin,ulica Lotnicza,40
55,Kaziród s.c.,03-201,Jawor,plac Radosna,88
56,Grupa Kandzia Sp. z o.o.,03-259,Wałcz,plac Pogodna,24
57,Fundacja Koźlak,90-196,Żary,plac Dąbrowskiej,105
58,PPUH Gorzelańczyk Sp. z o.o. Sp.k.,56-685,Pruszcz Gdański,ulica Drzymały,92
59,Kolbusz Sp. z o.o. Sp.k.,29-916,Pruszcz Gdański,aleja Jeżynowa,89/01
60,Grupa Gągała-Kuboń Sp. z o.o.,92-945,Bielsko-Biała,al. Jeziorna,313
61,PPUH Plona,05-511,Kraśnik,ulica Liliowa,490
62,Zbrożek Sp. z o.o.,54-028,Bartoszyce,aleja Wyzwolenia,50
63,Spółdzielnia Pelka,70-608,Bełchatów,ulica Lotnicza,266
64,FPUH Cis-Sobiło Sp. z o.o.,36-545,Łomża,plac Księżycowa,532
65,Stowarzyszenie Gul,73-385,Zduńska Wola,aleja Powstańców,59/29
66,PPUH Wołoch-Durys s.c.,55-056,Marki,ulica Jadwigi,36
67,Sutor-Mytych Sp.j.,52-685,Leszno,al. Wojciecha,65
68,Stowarzyszenie Bryda,42-389,Ruda Śląska,aleja Piwna,10/96
69,Połetek s.c.,90-682,Lubliniec,plac Wiklinowa,15
70,Grupa Rudyk,87-361,Środa Wielkopolska,ulica Promienna,65
71,Grupa Juśkiewicz i syn s.c.,57-818,Nysa,ul. Prosta,620
72,Gabinety Bodziony Sp. z o.o.,68-778,Mława,plac Mickiewicza,89
73,Różewicz-Siemion Sp. z o.o. Sp.k.,23-982,Oleśnica,al. Częstochowska,64
74,Grupa Tofil-Jany S.A.,20-435,Włocławek,al. Piekarska,758
75,FPUH Łuszczyk-Matulka i syn s.c.,36-305,Bartoszyce,al. Zachodnia,96
76,Faruga-Boksa Sp. z o.o.,19-670,Żyrardów,ulica Okrzei,16
77,Fundacja Andrearczyk-Ropiak Sp. z o.o. Sp.k.,88-650,Kielce,ulica Szeroka,490
78,PPUH Bok,98-751,Przemyśl,ul. Ceglana,01/89
79,Spółdzielnia Sędek,79-549,Tomaszów Mazowiecki,al. Fredry,052
80,Panuś-Sadza Sp. z o.o. Sp.k.,90-248,Wieluń,ulica Podleśna,527
81,Dzikiewicz-Hawrylak Sp.j.,84-553,Pszczyna,plac Poprzeczna,75/40
82,Chomik-Szlufik Sp. z o.o. Sp.k.,82-587,Chełm,plac Wyzwolenia,870
83,Dziduch-Jarka Sp. z o.o.,32-883,Biała Podlaska,ul. Spokojna,86
84,Gabinety Chadaj,20-331,Świebodzice,ulica Truskawkowa,82/12
85,Gabinety Bany i syn s.c.,05-319,Zielona Góra,aleja Hutnicza,87
86,Antoń-Olas s.c.,58-590,Konin,ulica Wyspiańskiego,75
87,PPUH Rusiniak,82-433,Bytom,plac Jeziorna,783
88,Bieszke-Różak Sp. z o.o. Sp.k.,90-540,Nowa Ruda,al. Browarna,44/81
89,FPUH Lempart Sp.k.,57-111,Polkowice,al. Zielona,95
90,Fundacja Hirsch Sp.j.,77-488,Myszków,ul. Wiślana,778
91,FPUH Boguś,47-205,Elbląg,ulica Głowackiego,70
92,Ekert s.c.,13-054,Luboń,ul. Czarnieckiego,07/88
93,Soliwoda-Ornat s.c.,58-177,Koło,plac Klasztorna,66
94,Frankowicz-Domka Sp.j.,99-968,Wejherowo,ulica Pomorska,49
95,Wojtyna-Dułak S.A.,46-115,Piastów,plac Kołłątaja,94
96,Szymańczyk Sp. z o.o.,13-998,Tarnowskie Góry,plac Konopnickiej,25/84
97,FPUH Sydor,17-125,Bartoszyce,aleja Hallera,05
98,Kijanka-Maszkiewicz Sp.k.,57-258,Żagań,ulica Daleka,953
99,Folga Sp. z o.o.,83-555,Jarosław,aleja Złota,07
100,PPUH Tokarek-Skomra Sp.j.,20-345,Brzeg,aleja Kowalska,40
101,Online,00-000,Brak,Brak,Brak
102,Pianka-Mieszała Sp. z o.o.,36-924,Jelenia Góra,aleja Górnicza,96
103,Fit s.c.,23-295,Katowice,ul. Gałczynskiego,58/18
104,Grupa Strycharz-Cis Sp.k.,48-600,Tarnowskie Góry,ulica Wrzosowa,54/81
105,Stowarzyszenie Sądej-Sommerfeld S.A.,95-480,Szczecin,plac Łączna,323
106,Grupa Jachimczyk,16-902,Jasło,ul. Leśna,02/70
107,FPUH Sado,38-774,Skierniewice,plac Władysława,73/46
108,Gabinety Iciek i syn s.c.,87-810,Radomsko,ulica Prosta,59
109,Hudzik-Leśna s.c.,57-070,Radom,ulica Okrężna,38/65
110,Fundacja Domińczak-Myga Sp. z o.o.,77-346,Zambrów,aleja Reymonta,454
111,Grupa Gula s.c.,08-224,Luboń,plac Żwirki,42/49
112,Gabinety Zapaśnik S.A.,05-707,Poznań,ulica Jadwigi,324
113,Folta i syn s.c.,53-659,Kłodzko,al. Długa,497
114,PPUH Warzybok,25-626,Bielawa,plac Poziomkowa,331
115,PPUH Kość,54-507,Elbląg,ulica Broniewskiego,11
116,Gozdur-Smardz i syn s.c.,79-652,Reda,plac Storczykowa,60
117,Gabinety Sławik Sp.k.,49-143,Jastrzębie-Zdrój,ul. Czarnieckiego,06
118,Grupa Ceran,83-064,Czeladź,ul. Piękna,61
119,Czesak Sp.j.,44-644,Siedlce,ul. Baczynskiego,56/99
120,Spółdzielnia Roczniak i syn s.c.,11-177,Tczew,al. Krakowska,20
121,Białous-Jakiel Sp.k.,60-781,Lębork,aleja Toruńska,25
122,Stowarzyszenie Gorol-Dulemba Sp.k.,02-127,Głogów,al. Wieniawskiego,51/67
123,FPUH Rykała-Dąbrowicz s.c.,22-060,Bydgoszcz,plac Przemysłowa,00/47
124,FPUH Świtaj,84-722,Grodzisk Mazowiecki,al. Powstańców,935
125,Świątkiewicz-Wojnicz Sp. z o.o. Sp.k.,79-922,Kołobrzeg,aleja Powstańców,70
126,Fundacja Rajman-Sobiło s.c.,53-595,Mława,plac Sucharskiego,653
127,Motak-Thiel s.c.,95-301,Grodzisk Mazowiecki,ul. Wałowa,411
128,Serwach-Waloszczyk Sp.j.,16-553,Zamość,ul. Rybacka,19
129,Fundacja Paw,21-925,Bochnia,ul. Irysowa,85
